Ankle,Base of Bill,Base of Tail,Breast,Heel,Shoulder,Tip of Bill,Tip of Tail,Tip of Wing,Toe
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,NaN,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,NaN,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,1.633743082752912,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,1.3345949886317952,NaN,NaN,NaN,NaN,1.7764614094208857,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
